t,x,tf,ts
0.93925,0.197,3.4657845,3.0964298
0.63870937,0.113,3.4476788,2.7504425
0.27518126,0.56,1.0001029,1.0001955
0.19041875,0.826,1.0002359,1.0002142
0.71715,0.115,3.5309305,2.9388185
0.1453125,0.839,1.0002282,1.0001473
0.40737188,0.217,1.9000514,1.3757657
0.92938125,0.38,2.7983541,2.4312239
0.6941469,0.919,1.0169097,1.0089397
0.091675,0.278,1.0000671,1.0000858
0.5793844,0.431,1.5665712,1.3173777
0.72006875,0.429,2.0581455,1.7101245
0.63714373,0.348,2.1761484,1.7598423
0.0318375,0.311,1.0002146,1.0001011
0.9546,0.756,1.5376897,1.3635248
0.55750626,0.228,2.5892313,1.9887772
0.4196281,0.222,1.9476256,1.4143373
0.5312125,0.66,1.0243647,1.0115703
0.7499156,0.711,1.2415786,1.1395879
0.77176875,0.0,4.0002594,3.2392087
0.6641,0.446,1.801789,1.5004572
0.7491406,0.068,3.74481,3.1260133
0.8920625,0.848,1.2411038,1.1523721
0.17034063,0.545,1.0002115,1.0001507
0.6156531,0.739,1.0422032,1.020406
0.2412375,0.479,1.0000309,1.0001736
0.8451281,0.375,2.6387632,2.2502375
0.1543375,0.381,0.99997675,1.0000004
0.68505,0.989,1.007016,1.0045718
0.2903125,0.004,3.908317,1.3274559
0.22655937,0.175,0.9996319,0.9997889
0.28968439,0.302,0.9995868,0.9997778
0.17868125,0.306,0.99985015,0.99991363
0.071865626,0.888,1.0002732,0.999992
0.8420375,0.647,1.589184,1.3858426
0.43836874,0.096,3.1725943,2.0572631
0.04529375,0.693,1.0001026,1.0000852
0.0168875,0.457,1.0000398,1.0001273
0.36399376,0.654,0.9999232,1.0001642
0.04005625,0.777,1.0001559,1.0000088
0.7831031,0.748,1.233881,1.1371093
0.65998435,0.743,1.0764161,1.0388248
0.42040938,0.542,1.0065249,1.0032375
0.79715,0.653,1.4675441,1.2933745
0.049371876,0.029,0.99954474,0.9999548
0.15223125,0.818,1.0002277,1.0001626
0.40495938,0.39,1.0864174,1.0349256
0.9583344,0.666,1.8018961,1.5653979
0.7549344,0.15,3.428425,2.9075303
0.23055312,0.558,1.0001602,1.0002264
0.32461876,0.562,1.0000277,1.0001134
0.7513969,0.043,3.8396716,3.1734204
0.33819687,0.289,1.0626403,1.0198019
0.47884062,0.027,3.7997231,2.4480677
0.38039687,0.009,3.905452,1.9785185
0.8224125,0.208,3.2875552,2.845879
0.69869685,0.962,1.01131,1.0068607
0.16296875,0.901,1.000241,1.0001686
0.75093436,0.521,1.770899,1.5025582
0.5787031,0.243,2.5688589,2.0011036
0.21645,0.9,1.000226,1.0002524
0.58193123,0.725,1.0277175,1.0131156
0.371425,0.493,1.0015292,1.0008858
0.6656344,0.465,1.7275358,1.4490503
0.59151876,0.293,2.3148015,1.8285047
0.040090624,0.83,1.0002114,0.9999651
0.72209686,0.299,2.6859393,2.2264156
0.94409686,0.347,2.9527454,2.5860462
0.3097031,0.392,1.000072,1.0000707
0.55263126,0.084,3.4929235,2.583338
0.058978125,0.135,0.9999714,1.0000162
0.94862187,0.75,1.5407455,1.3649217
0.59659064,0.137,3.2520504,2.534
0.034296874,0.893,1.0002824,0.9999089
0.12338125,0.056,0.9994452,0.99982834
0.35073438,0.556,1.0001404,1.0002562
0.6093594,0.717,1.0499513,1.0243589
0.5397437,0.364,1.7094128,1.3888842
0.41516563,0.014,3.872122,2.1666093
0.77585936,0.26,2.9914656,2.5361962
0.20465937,0.956,1.0002462,1.0002348
0.2617531,0.716,1.0001976,1.0003138
0.36713436,0.804,1.0000192,1.0001585
0.5990844,0.038,3.7969537,2.8417091
0.84635,0.491,2.1544244,1.828608
0.29295,0.243,1.0082724,1.0017169
0.17790624,0.341,0.999918,0.99995637
0.2137,0.507,1.0001483,1.0001639
0.13340938,0.616,1.0001862,1.0001752
0.43330312,0.309,1.4650208,1.203417
0.48399064,0.843,1.0000954,1.0000119
0.39907813,0.583,1.0007486,1.0005915
0.7981656,0.739,1.2753327,1.1647075
0.48547187,0.325,1.6589304,1.3300416
0.85538435,0.8,1.26247,1.1616509
0.8008969,0.164,3.4286265,2.95614
0.28100625,0.477,1.0000788,1.0000191
0.50438124,0.146,2.9738624,2.1491575
0.10974687,0.709,1.0001875,1.0001476
0.48172188,0.942,1.0000145,0.99992603
0.8786719,0.854,1.213574,1.1334654
0.5583094,0.727,1.0162439,1.0075771
0.5923344,0.309,2.2256076,1.7648215
0.5798156,0.884,1.0020719,1.0006692
0.77404374,0.249,3.0366683,2.5762975
0.022275,0.901,1.0002856,0.99987817
0.69170624,0.904,1.0194305,1.0099636
0.60630625,0.698,1.0598738,1.0294561
0.53410935,0.937,1.0000864,0.9997883
0.3535375,0.17,1.8530283,1.2731915
0.48611876,0.993,0.99998784,0.9999002
0.01961875,0.81,1.0001507,0.99994427
0.3701,0.469,1.0028179,1.0014117
0.81191874,0.746,1.2864089,1.1730576
0.3407969,0.665,0.99992204,1.0001154
0.023315625,0.349,1.000183,1.0001047
0.07898437,0.779,1.0001968,1.0000701
0.24120624,0.902,1.0002131,1.0002794
0.92626876,0.234,3.3312817,2.955298
0.8515875,0.708,1.4457601,1.2846519
0.49371874,0.722,1.0025551,1.0012763
0.5339125,0.606,1.0566684,1.0271099
0.118690625,0.601,1.0001645,1.0001729
0.31385,0.176,1.3228805,1.0759163
0.18331562,0.999,1.0002656,1.0001997
0.7559031,0.038,3.859686,3.187985
0.89452815,0.906,1.1692723,1.1098392
0.8433969,0.889,1.1300919,1.0796158
0.460525,0.732,1.0004385,1.0003428
0.5117375,0.886,1.0001523,0.99991363
0.74324685,0.525,1.7337478,1.4735825
0.2545875,0.84,1.000195,1.000296
0.93544376,0.166,3.5564566,3.1817799
0.094946876,0.13,0.9997761,0.9999777
0.03821875,0.796,1.0001717,0.9999895
0.05576875,0.711,1.0001357,1.0000856
0.019340625,0.011,0.9995203,0.99993575
0.3316125,0.136,1.9811115,1.2647562
0.04318125,0.822,1.000206,0.9999771
0.62617815,0.527,1.3862128,1.2170451
0.09384687,0.0,0.999305,0.99992
0.62880313,0.568,1.285127,1.1564474
0.2503656,0.609,1.0001731,1.0002825
0.29745936,0.539,1.0000312,1.0000613
0.62446874,0.531,1.3698902,1.2068242
0.27229062,0.764,1.0001886,1.0003204
0.29925,0.997,1.0002241,1.0002451
0.27035937,0.079,1.5159266,1.0467718
0.7746969,0.442,2.1634965,1.8136275
0.8901219,0.705,1.5353057,1.3531474
0.69598436,0.45,1.8892604,1.5741353
0.8170781,0.131,3.5662336,3.0901928
0.022171875,0.078,0.9999087,0.9999496
0.56070626,0.84,1.0025767,1.0009565
0.38190624,0.774,0.9999325,1.0001119
0.12087812,0.43,1.0000699,1.0001072
0.38592812,0.157,2.2948904,1.5025775
0.6105594,0.299,2.3491945,1.8700836
0.06888125,0.292,1.0001478,1.0001241
0.46484375,0.294,1.7270826,1.3522956
0.19255938,0.93,1.0002415,1.0002185
0.73805624,0.872,1.0533314,1.0285317
0.37745938,0.091,2.9794426,1.736577
0.15247187,0.31,0.9998665,0.9999164
0.19501875,0.453,1.0001152,1.0000955
0.15613125,0.023,0.99952257,0.99964416
0.2312125,0.633,1.0002241,1.0002548
